period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
148,502981,177785708,1693541,3085345,17,45076,5843345,162594,20529,27244,290216,4092,0.70
149,506310,178737597,1704648,3106219,17,45076,5879109,163578,20529,27244,290216,4092,1.16
150,509644,179700599,1713307,3120989,17,45076,5904252,164334,20529,27244,290216,4092,0.69
151,516324,181602381,1737645,3161864,17,45076,5974111,166113,20529,27244,290216,4092,1.04
152,519120,182543697,1758155,3194127,17,45076,6013533,166758,20529,27244,290216,4092,1.63
153,521844,183485550,1775098,3222096,17,45076,6053548,167615,20529,27244,290216,4092,1.41
154,525206,184466752,1777595,3228343,17,45076,6067522,168536,20529,27244,290216,4092,0.33
155,528541,185414898,1791096,3252128,17,45076,6103808,169476,20529,27244,290216,4092,1.23
156,531578,186379689,1798162,3264152,17,45076,6130207,170605,20529,27244,290216,4092,0.58
157,534901,187355287,1800689,3271346,17,45076,6149021,171897,20529,27244,290216,4092,0.31
158,538240,188312714,1812593,3290557,17,45076,6178776,172784,20529,27244,290216,4092,0.98
159,541210,189265849,1826796,3314211,17,45076,6211305,173740,20529,27244,290216,4092,1.26
160,544556,190231838,1834550,3327933,17,45076,6233552,174707,20529,27244,290216,4092,0.68
161,547901,191170151,1852242,3359274,17,45076,6277871,175681,20529,27244,290216,4092,1.77
162,551248,192100786,1875111,3396852,17,45076,6323762,176400,20529,27244,290216,4092,2.06
163,554346,193020322,1903334,3441754,17,45076,6376927,177192,20529,27244,290216,4092,2.42
164,557232,193934398,1932784,3490189,17,45076,6433303,177944,20529,27244,290216,4092,2.45
165,560093,194860484,1956803,3529014,17,45076,6482401,179033,20529,27244,290216,4092,2.03
166,563451,195782466,1981310,3571523,17,45076,6534507,179810,20529,27244,290216,4092,2.26
