period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
83,9651429,335924,113874,61603737,21300305,18,36523,24552,117049,18533766,1881,206992,4152,17.88
84,9775020,339207,113874,62280384,21591311,18,36523,24552,118331,18776945,1881,206992,4152,17.40
85,9903110,342532,113874,62955753,21859357,18,36523,24552,119814,19022622,1881,206992,4152,17.54
86,10031498,345242,113874,63620019,22130537,18,36523,24552,121219,19274631,1881,206992,4152,17.62
87,10166294,348420,113874,64275092,22435784,18,36523,24552,122444,19541928,1881,206992,4152,19.14
88,10308032,351663,113874,64911328,22731501,18,36523,24552,123751,19819464,1881,206992,4152,19.99
89,10447721,354148,113874,65549863,23048233,18,36523,24552,125021,20098757,1881,206992,4152,19.91
90,10591280,357641,113874,66176135,23349513,18,36523,24552,126400,20382037,1881,206992,4152,20.53
91,10720816,360574,113874,66843008,23619728,18,36523,24552,127762,20633375,1881,206992,4152,17.76
92,10844779,363155,113874,67524508,23909869,18,36523,24552,129053,20872014,1881,206992,4152,17.23
93,10962670,365951,113874,68927592,24159834,18,36523,24552,130308,21096126,1881,206992,4152,15.77
94,11073133,368441,113874,68958647,24396390,18,36523,24552,131570,21270640,1881,206992,4152,12.54
95,11196639,371023,113874,69677024,24632427,18,36523,24552,133004,21461409,1881,206992,4152,13.34
96,11315207,374010,113874,71126701,24887581,18,36523,24552,134432,21654005,1881,206992,4152,13.72
97,11442489,377291,113874,71845807,25136665,18,36523,24552,135838,21865002,1881,206992,4152,14.93
98,11568954,380950,113874,71779236,25396421,18,36523,24552,137317,22091110,1881,206992,4152,15.93
99,11688208,384235,113874,72474838,25668145,18,36523,24552,138682,22309781,1881,206992,4152,15.54
100,11807219,386574,113874,73187916,25910063,18,36523,24552,140153,22513146,1881,206992,4152,14.29
101,11938035,389603,113874,73891442,26190144,18,36523,24552,141409,22738196,1881,206992,4152,15.84
102,12074296,392377,113874,74575214,26460483,18,36523,24552,142803,22969797,1881,206992,4152,16.33
103,12196690,395686,113874,75256913,26718190,18,36523,24552,144117,23200624,1881,206992,4152,16.34
